CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ    MINMHZ      MHZ
  0    0      0    0 8:8:8:0          yes 4500.0000 1200.0000 3700.000
  1    0      0    1 3:3:3:0          yes 4700.0000 1200.0000 3700.000
  2    0      0    2 4:4:4:0          yes 4500.0000 1200.0000 3700.000
  3    0      0    3 5:5:5:0          yes 4700.0000 1200.0000 3700.000
  4    0      0    4 6:6:6:0          yes 4500.0000 1200.0000 3700.000
  5    0      0    5 2:2:2:0          yes 4600.0000 1200.0000 3700.000
  6    0      0    6 9:9:9:0          yes 4500.0000 1200.0000 3700.000
  7    0      0    7 10:10:10:0       yes 4500.0000 1200.0000 3700.000
  8    0      0    8 13:13:13:0       yes 4500.0000 1200.0000 1200.054
  9    0      0    9 14:14:14:0       yes 4600.0000 1200.0000 3700.000
 10    0      0    5 2:2:2:0          yes 4600.0000 1200.0000 3700.000
 11    0      0    1 3:3:3:0          yes 4700.0000 1200.0000 3700.000
 12    0      0    2 4:4:4:0          yes 4500.0000 1200.0000 3700.000
 13    0      0    3 5:5:5:0          yes 4700.0000 1200.0000 3700.000
 14    0      0    4 6:6:6:0          yes 4500.0000 1200.0000 3700.000
 15    0      0    0 8:8:8:0          yes 4500.0000 1200.0000 3700.000
 16    0      0    6 9:9:9:0          yes 4500.0000 1200.0000 3700.000
 17    0      0    7 10:10:10:0       yes 4500.0000 1200.0000 3700.000
 18    0      0    8 13:13:13:0       yes 4500.0000 1200.0000 3700.000
 19    0      0    9 14:14:14:0       yes 4600.0000 1200.0000 3700.000
